Answer,Question
"Buy eggs, milk, and spinach at the store",What do I need to buy at the grocery store?
Finish math homework by Thursday,When is my math homework due?
Flight to Denver leaves at 6:45am on Friday,What time is my flight to Denver?
Meeting with Sarah at 3pm on Monday,When is my meeting with Sarah?
Bench press: 3 sets of 10 at 135lbs,What was my last bench press workout?
Add birthday gift for Mom to Amazon wishlist,What gift idea did I have for Mom?
Budget: keep under $200 for dining this month,What is my dining budget for this month?
Remember to call dentist about rescheduling,Who do I need to call to reschedule an appointment?
Chapter 5 covers photosynthesis and light reactions,What does Chapter 5 cover in biology?
Goal: run 3x per week in June,What is my fitness goal for June?
Team standup moved to 10am daily,What time is the daily team standup?
Bring charger and ID to conference,What do I need to pack for the conference?
Save $100 this month for emergency fund,How much am I saving this month?
Add The Alchemist to summer reading list,What book did I want to read this summer?
Birthday party for Jake on July 8th,When is the birthday party for Jake?
Need to write 2-page reflection for ethics class,What assignment do I need to write for ethics class?
Start brainstorming names for the new app,What should I start brainstorming for the app?
Favorite quote: Discipline equals freedom - Jocko Willink,What quote did I like recently?
Submit lab report by Tuesday at midnight,When is my lab report due?
Meeting with advisor on Zoom at 4pm Wednesday,When is my advisor meeting?
Squats: 4 sets of 8 at 185lbs,What was my last squat workout?
Add trip to Yosemite to dream destinations,Where do I want to travel someday?
Only spend $50 on entertainment this week,What is my weekly entertainment budget?
Schedule eye exam for next week,What medical appointment do I need to schedule?
Loved Everything Everywhere All At Once - wild ride,What did I think of Everything Everywhere All At Once?
Chapter 7 is all about cellular respiration,What is in Chapter 7 of my bio textbook?
Try meditating for 5 minutes each morning,What new habit am I trying to build?
Check in for flight 24 hours before departure,What do I need to remember before my flight?
Pack water bottle and snacks for the hike,What should I bring for my hike?
Deposit $300 into savings this month,How much am I saving this month?
Add The Midnight Library to my to-read list,What is a book I want to read?
Book club meeting on Sunday at 6pm,When is my book club meeting?
Dream: chased by wolves in a frozen forest,What dream did I have about animals?
Finish final essay for English by May 3rd,What is the due date for my final English essay?
List app needs login feature and profile customization,What features should the app have?
History exam is next Friday,When is my history exam?
Work meeting rescheduled to 9am Thursday,When is the new time for my work meeting?
Deadlift: 3x5 at 225lbs,What weight did I deadlift last?
Research New Zealand for next vacation,What country am I researching for travel?
Limit UberEats to once a week,What is my UberEats goal?
Call vet to ask about vaccines for cat,Who do I need to call for pet care?
Really liked the ending of The Bear S2,What did I think of The Bear season 2?
Chapter 10 focuses on World War II,What topic is in Chapter 10 of history?
Wake up by 7am on weekdays,What is my weekday wake-up goal?
Set alarm for 5:30am before race day,When do I need to wake up for the race?
Bring sunscreen and towel to the beach,What should I pack for the beach?
Transfer $50 to travel fund this week,How much am I adding to my travel fund?
Add Babel by RF Kuang to library hold list,What book did I place on hold?
Dinner with Priya at 7pm Friday,When is dinner with Priya?
Dreamt about being on a spaceship alone,What was the space dream I had?
Work on prototype sketches for the new device,What part of the project am I working on now?
Quote: Comparison is the thief of joy - Roosevelt,What quote did I write down about happiness?
Chemistry quiz on ionic bonds Monday,When is my next chemistry quiz?
Lunch check-in with mentor at 12:30 Tuesday,When is my check-in with my mentor?
Only one Starbucks trip per week,What is my coffee shop limit?
